"NUMERO";"CODIGO_DEL_PRODUCTO";"CANTIDAD";"PRECIO"
100;"1013793";63;24.01
100;"1101035";26;9.0105
100;"520380";67;12.011
100;"773912";66;8.008
101;"1000889";35;6.309
101;"479745";65;3.768
102;"1101035";84;9.0105
102;"235653";37;3.8595
102;"394479";74;8.409
103;"520380";29;12.011
104;"788975";66;18.011
105;"1037797";98;16.008
105;"1040107";57;4.555
105;"695594";82;28.512
106;"1004327";19;19.51
106;"773912";11;8.008
106;"826490";24;6.3105
107;"1096818";91;7.7105
107;"229900";12;4.211
107;"394479";60;8.409
108;"1013793";70;24.01
109;"231776";18;13.312
109;"243083";85;10.512
109;"812829";11;2.808
110;"1002767";24;8.41
110;"1013793";24;24.01
110;"231776";84;13.312
111;"1086543";28;11.0105
112;"229900";20;4.211
112;"243083";73;10.512
112;"326779";87;16.5105
112;"826490";38;6.3105
113;"1004327";15;19.51
113;"1086543";55;11.0105
113;"290478";88;4.56
113;"773912";95;8.008
114;"1004327";42;19.51
114;"1037797";40;16.008
114;"231776";35;13.312
114;"812829";30;2.808
